# THIS FILE IS GENERATED BY $ rake build_prop_map - DO NOT EDIT
ascii,ASCII
asciihexdigit,ASCII_Hex_Digit
adlam,Script=Adlam
anatolianhieroglyphs,Script=Anatolian_Hieroglyphs
armenian,Script=Armenian
avestan,Script=Avestan
bamum,Script=Bamum
bassavah,Script=Bassa_Vah
batak,Script=Batak
bengali,Script=Bengali
bhaiksuki,Script=Bhaiksuki
bidicontrol,Bidi_Control
bopomofo,Script=Bopomofo
braille,Script=Braille
buginese,Script=Buginese
buhid,Script=Buhid
carian,Script=Carian
caucasianalbanian,Script=Caucasian_Albanian
chakma,Script=Chakma
cham,Script=Cham
cherokee,Script=Cherokee
chorasmian,Script=Chorasmian
connectorpunctuation,Connector_Punctuation
control,Control
coptic,Script=Coptic
cuneiform,Script=Cuneiform
cypriot,Script=Cypriot
cyrillic,Script=Cyrillic
deprecated,Deprecated
deseret,Script=Deseret
devanagari,Script=Devanagari
divesakuru,Script=Dives_Akuru
dogra,Script=Dogra
duployan,Script=Duployan
egyptianhieroglyphs,Script=Egyptian_Hieroglyphs
elbasan,Script=Elbasan
elymaic,Script=Elymaic
emojicomponent,Emoji_Component
emojimodifier,Emoji_Modifier
enclosingmark,Enclosing_Mark
finalpunctuation,Final_Punctuation
georgian,Script=Georgian
gothic,Script=Gothic
grantha,Script=Grantha
greek,Script=Greek
gujarati,Script=Gujarati
gunjalagondi,Script=Gunjala_Gondi
gurmukhi,Script=Gurmukhi
hangul,Script=Hangul
hanifirohingya,Script=Hanifi_Rohingya
hanunoo,Script=Hanunoo
hatran,Script=Hatran
hebrew,Script=Hebrew
hexdigit,Hex_Digit
idsbinaryoperator,IDS_Binary_Operator
idstrinaryoperator,IDS_Trinary_Operator
imperialaramaic,Script=Imperial_Aramaic
initialpunctuation,Initial_Punctuation
inscriptionalpahlavi,Script=Inscriptional_Pahlavi
inscriptionalparthian,Script=Inscriptional_Parthian
javanese,Script=Javanese
joincontrol,Join_Control
kayahli,Script=Kayah_Li
kharoshthi,Script=Kharoshthi
khitansmallscript,Script=Khitan_Small_Script
khmer,Script=Khmer
khojki,Script=Khojki
khudawadi,Script=Khudawadi
lao,Script=Lao
lepcha,Script=Lepcha
letternumber,Letter_Number
limbu,Script=Limbu
lineseparator,Line_Separator
lineara,Script=Linear_A
linearb,Script=Linear_B
lisu,Script=Lisu
logicalorderexception,Logical_Order_Exception
lycian,Script=Lycian
lydian,Script=Lydian
mahajani,Script=Mahajani
makasar,Script=Makasar
malayalam,Script=Malayalam
mandaic,Script=Mandaic
manichaean,Script=Manichaean
marchen,Script=Marchen
masaramgondi,Script=Masaram_Gondi
math,Math
mathsymbol,Math_Symbol
medefaidrin,Script=Medefaidrin
meeteimayek,Script=Meetei_Mayek
mendekikakui,Script=Mende_Kikakui
meroiticcursive,Script=Meroitic_Cursive
meroitichieroglyphs,Script=Meroitic_Hieroglyphs
miao,Script=Miao
modi,Script=Modi
mro,Script=Mro
multani,Script=Multani
myanmar,Script=Myanmar
nabataean,Script=Nabataean
nandinagari,Script=Nandinagari
newtailue,Script=New_Tai_Lue
newa,Script=Newa
nko,Script=Nko
noncharactercodepoint,Noncharacter_Code_Point
nushu,Script=Nushu
nyiakengpuachuehmong,Script=Nyiakeng_Puachue_Hmong
ogham,Script=Ogham
olchiki,Script=Ol_Chiki
oldhungarian,Script=Old_Hungarian
olditalic,Script=Old_Italic
oldnortharabian,Script=Old_North_Arabian
oldpermic,Script=Old_Permic
oldpersian,Script=Old_Persian
oldsogdian,Script=Old_Sogdian
oldsoutharabian,Script=Old_South_Arabian
oldturkic,Script=Old_Turkic
oriya,Script=Oriya
osage,Script=Osage
osmanya,Script=Osmanya
othernumber,Other_Number
pahawhhmong,Script=Pahawh_Hmong
palmyrene,Script=Palmyrene
paragraphseparator,Paragraph_Separator
patternsyntax,Pattern_Syntax
patternwhitespace,Pattern_White_Space
paucinhau,Script=Pau_Cin_Hau
phagspa,Script=Phags_Pa
phoenician,Script=Phoenician
privateuse,Private_Use
psalterpahlavi,Script=Psalter_Pahlavi
quotationmark,Quotation_Mark
radical,Radical
regionalindicator,Regional_Indicator
rejang,Script=Rejang
runic,Script=Runic
samaritan,Script=Samaritan
saurashtra,Script=Saurashtra
separator,Separator
sharada,Script=Sharada
shavian,Script=Shavian
siddham,Script=Siddham
signwriting,Script=SignWriting
sinhala,Script=Sinhala
sogdian,Script=Sogdian
sorasompeng,Script=Sora_Sompeng
soyombo,Script=Soyombo
spaceseparator,Space_Separator
sundanese,Script=Sundanese
sylotinagri,Script=Syloti_Nagri
syriac,Script=Syriac
tagbanwa,Script=Tagbanwa
taile,Script=Tai_Le
taitham,Script=Tai_Tham
taiviet,Script=Tai_Viet
tamil,Script=Tamil
tangut,Script=Tangut
thaana,Script=Thaana
thai,Script=Thai
tibetan,Script=Tibetan
tifinagh,Script=Tifinagh
tirhuta,Script=Tirhuta
titlecaseletter,Titlecase_Letter
ugaritic,Script=Ugaritic
vai,Script=Vai
wancho,Script=Wancho
warangciti,Script=Warang_Citi
whitespace,White_Space
yezidi,Script=Yezidi
yi,Script=Yi
zanabazarsquare,Script=Zanabazar_Square
